t_ns,parent,child,tx,ty,tz,yaw
1771970304129841527,robot1/odom,robot1/base_link,5.179867361742398,3.376016738912684,0.0,0.5630945089858257
1771970304208223114,robot1/odom,robot1/base_link,5.195107597793021,3.385637346151076,0.0,0.5630871872132536
1771970304293784616,robot1/odom,robot1/base_link,5.210298464379821,3.395226627040804,0.0,0.563079333088162
1771970304367307765,robot1/odom,robot1/base_link,5.225538840337723,3.404846998954983,0.0,0.5630719932161834
1771970304411439193,robot1/odom,robot1/base_link,5.230969454603,3.408172968378141,0.0,0.5359725590152692
1771970304486711548,robot1/odom,robot1/base_link,5.2357291198582825,3.4109211703477933,0.0,0.5112905270403623
1771970304552579308,robot1/odom,robot1/base_link,5.238596073056781,3.412474304837916,0.0,0.4816636609268852
1771970304617001046,robot1/odom,robot1/base_link,5.240412063699624,3.41338630910524,0.0,0.44916056630746437
1771970304667522731,robot1/odom,robot1/base_link,5.241163584430923,3.4137326079530763,0.0,0.41443289970658787
1771970304725888195,robot1/odom,robot1/base_link,5.248963448529221,3.4170779827897175,0.0,0.39590862173988295
1771970304782376459,robot1/odom,robot1/base_link,5.26185238891268,3.4224225291688506,0.0,0.3902539689771828
1771970304843023000,robot1/odom,robot1/base_link,5.275804788072741,3.428141504674544,0.0,0.38775541203237
1771970304885511716,robot1/odom,robot1/base_link,5.289963535675268,3.433909718144692,0.0,0.3859760119050878
1771970304931529843,robot1/odom,robot1/base_link,5.306551953654001,3.4406423363878718,0.0,0.38512417350136685
1771970304990532872,robot1/odom,robot1/base_link,5.323912743087636,3.4476813379642968,0.0,0.3852743140069722
1771970305057383540,robot1/odom,robot1/base_link,5.340815912937751,3.4545383996508825,0.0,0.3854903504354545
1771970305143213146,robot1/odom,robot1/base_link,5.357618837978828,3.461357942137172,0.0,0.3855959215084454
1771970305210944368,robot1/odom,robot1/base_link,5.374304717474988,3.468131393651276,0.0,0.3856357060640877
1771970305294917989,robot1/odom,robot1/base_link,5.391020259142937,3.4749173803875926,0.0,0.38564668471963925
1771970305359404011,robot1/odom,robot1/base_link,5.4076717428764045,3.4816774529598824,0.0,0.38564512587677624
1771970305422938293,robot1/odom,robot1/base_link,5.424373648411395,3.488457922023038,0.0,0.3856391328397407
1771970305475303363,robot1/odom,robot1/base_link,5.441019840104246,3.4952156326862656,0.0,0.3856306580113766
1771970305531795478,robot1/odom,robot1/base_link,5.45771962348191,3.5019949319723067,0.0,0.38562190773228733
1771970305598545561,robot1/odom,robot1/base_link,5.474365053861302,3.5087519889176346,0.0,0.38561233077071433
1771970305642652440,robot1/odom,robot1/base_link,5.480115268021949,3.5109929558030477,0.0,0.35761171591991475
1771970305813702990,robot1/odom,robot1/base_link,5.485156412787759,3.5128047972596366,0.0,0.33245590190553803
1771970305859215283,robot1/odom,robot1/base_link,5.488322160186571,3.513847167235583,0.0,0.3037133815302872
1771970305916776332,robot1/odom,robot1/base_link,5.489895131870394,3.514313654530401,0.0,0.27289028155472306
1771970305983800398,robot1/odom,robot1/base_link,5.499419575746658,3.5168935024439323,0.0,0.2561473317744476
1771970306260682923,robot1/odom,robot1/base_link,5.512409912616508,3.520249196152511,0.0,0.24944456734814943
1771970306329109627,robot1/odom,robot1/base_link,5.526849419869317,3.5239064736960772,0.0,0.24668719097247163
1771970306406822794,robot1/odom,robot1/base_link,5.543105384946549,3.527988262200417,0.0,0.24533042749084197
1771970306440995249,robot1/odom,robot1/base_link,5.560824727634841,3.5324210179937787,0.0,0.244937095694213
1771970306728986085,robot1/odom,robot1/base_link,5.578338903062869,3.536798744154165,0.0,0.24493234683209167
1771970306810699677,robot1/odom,robot1/base_link,5.595856418059017,3.541177408359157,0.0,0.24494819700546355
1771970306875470832,robot1/odom,robot1/base_link,5.613297472059235,3.5455371345977276,0.0,0.2449511441081803
1771970306962372368,robot1/odom,robot1/base_link,5.630788471257655,3.5499093321132134,0.0,0.24494674578498385
1771970307054574321,robot1/odom,robot1/base_link,5.648219213373508,3.554266348218298,0.0,0.24493828845831503
1771970307134632640,robot1/odom,robot1/base_link,5.665704944979694,3.558636942817016,0.0,0.24492879281256213
1771970307216299839,robot1/odom,robot1/base_link,5.683133640165027,3.5629930950499245,0.0,0.24491819991491232
1771970307325224702,robot1/odom,robot1/base_link,5.700619155699043,3.56736325465355,0.0,0.2449078661066194
1771970307426343748,robot1/odom,robot1/base_link,5.718047836050045,3.5717190125599942,0.0,0.24489693717612743
1771970307536470520,robot1/odom,robot1/base_link,5.735533140523064,3.5760887231859826,0.0,0.244886472012329
1771970307629180794,robot1/odom,robot1/base_link,5.752961789571184,3.5804440765320553,0.0,0.2448754804379203
1771970307697781269,robot1/odom,robot1/base_link,5.770447259789883,3.5848134297549183,0.0,0.24486499228103764
1771970307739678340,robot1/odom,robot1/base_link,5.787876033056779,3.589168416369822,0.0,0.24485399732553156
1771970307793667106,robot1/odom,robot1/base_link,5.805361552122702,3.593537382689064,0.0,0.2448435078150904
1771970307972009883,robot1/odom,robot1/base_link,5.822790400273001,3.5978919901664086,0.0,0.24483251045840412
1771970308025688747,robot1/odom,robot1/base_link,5.840276032533498,3.6022605856019756,0.0,0.24482202080778298
1771970308056930547,robot1/odom,robot1/base_link,5.857704982412568,3.6066148206376636,0.0,0.24481102489095322
1771970308118332133,robot1/odom,robot1/base_link,5.875190698937073,3.6109830379839063,0.0,0.24480053490831827
1771970308157600091,robot1/odom,robot1/base_link,5.892619739434996,3.6153368978628055,0.0,0.24478954474171294
1771970308201038115,robot1/odom,robot1/base_link,5.9101055541004115,3.6197047406957386,0.0,0.2447790553869136
1771970308244371047,robot1/odom,robot1/base_link,5.9275346891144345,3.6240582264174606,0.0,0.24476806102456097
1771970308287806771,robot1/odom,robot1/base_link,5.945020595791908,3.628425693160274,0.0,0.24475757446601631
1771970308365121784,robot1/odom,robot1/base_link,5.962449823065248,3.6327788042115694,0.0,0.24474658414447711
1771970308552558384,robot1/odom,robot1/base_link,5.979935825593107,3.6371458958735223,0.0,0.24473609218808898
1771970308593241628,robot1/odom,robot1/base_link,5.997365147272741,3.6414986327140193,0.0,0.2447251003642518
1771970308635106978,robot1/odom,robot1/base_link,6.014851242136303,3.6458653484030537,0.0,0.244714615239793
