t_ns,x,y,yaw,vx,wz
1771970267342360810,0.6713423761474795,-0.08498483523649177,0.3871326635523769,0.004694848084056782,1.0030338147159579
1771970267392828401,0.6714072009614976,-0.08495703427820078,0.42314335781923607,0.002543371149171374,1.0017362827274763
1771970267453572853,0.671417511973014,-0.08495216558127408,0.4591534553120699,0.0017055434650552973,1.0009320407179287
1771970267593035538,0.6714798798038712,-0.08491992113093186,0.49516353933252205,0.0013679408807814443,1.0005641641801766
1771970267652276766,0.671489563814473,-0.08491446394152043,0.5311731193252147,0.0012323085313482279,1.0004065096789343
1771970267751510921,0.6715492053779786,-0.084877964815135,0.5671827052858627,0.0011751604752697458,1.0003377050674738
1771970267789556617,0.6715582425541631,-0.08487197671271768,0.6031918439645807,0.0011503271181878215,1.000306228706384
1771970267846829415,0.6716148786747929,-0.08483144129249202,0.6392010018279082,0.0011390514910849928,1.000284087042544
1771970267903920910,0.6716232459847882,-0.0848249847692868,0.6752097628374468,0.0011314919773585891,1.0002766530996698
1771970267973144094,0.6717746468504239,-0.08470187399443438,0.6901994846121738,0.0014756538934072353,0.9418823121095604
1771970268030140098,0.6717509918520712,-0.08472187755743764,0.7137128749357107,0.0013567243074360722,0.9071672538432155
1771970268105102677,0.6717470382021269,-0.08472542060001996,0.7476491920196119,0.0011460362094331202,0.9014050950016748
1771970268164994361,0.671726732369376,-0.08474493305223729,0.7833023465447575,0.001036130214978296,0.9004135867568346
1771970268208309449,0.6717626146847392,-0.08470789301595967,0.8192434681710549,0.000984350551122232,0.9002220245508491
1771970268260634934,0.6717645068411983,-0.08470579375202972,0.8552361991950376,0.0009613225253091963,0.9001752218599888
1771970268307108521,0.6718069855486112,-0.08465511060217028,0.8912399691870443,0.0009507852769769926,0.9001590663915409
1771970268351367709,0.671812273146207,-0.08464831941201201,0.9272463678305339,0.0009445790620014258,0.9001514551825727
1771970268563781250,0.6718519896141042,-0.08459333446926495,0.9632538097902303,0.0009395268302356183,0.9001466887835978
1771970268641165928,0.677111030469177,-0.07692272622116406,0.9763340703704656,0.026744542551193646,0.8364564098138721
1771970268707380910,0.6787768391744824,-0.07439528559403633,0.9997820415392854,0.03461108283995318,0.8599515470196474
1771970268807810182,0.6800991854537943,-0.07225697262621067,1.0341231236275248,0.04168124848772481,0.890028468587392
1771970268856755768,0.6810867893532229,-0.07052933106733218,1.0688455792094393,0.047224056396970825,0.8922121866374255
1771970268912711052,0.6814617002250849,-0.06981584106779791,1.105131077354832,0.04954128129131373,0.8939686966936652
1771970268957333640,0.6816290871850217,-0.06946713200607116,1.1413908125705066,0.05047253358294842,0.8948537344419328
1771970269070514805,0.6816828703101955,-0.06934383937350508,1.177525060340024,0.05083834976313793,0.8952468365128622
1771970269132774718,0.681726199422429,-0.06923384004006466,1.2135882528234727,0.05098306636601111,0.8954118989890907
1771970269186215758,0.6817357025406182,-0.0692069059600238,1.24961909891528,0.05103849851379251,0.895479808569014
1771970269262018079,0.6817582038451077,-0.06913497342484978,1.2856367951719065,0.05105944680797982,0.8955082927271534
1771970269331215994,0.6817612330693061,-0.069123905582648,1.3216488709057101,0.025256948294618015,0.9592077792642815
1771970269381937772,0.6817768889960913,-0.06905738331118333,1.3576591062401648,0.017038198331095315,0.9941029575020996
1771970269435664807,0.6817785393934436,-0.06904903311409108,1.3936680974259195,0.01007773256066338,0.9987360383285232
1771970269467239758,0.6817891904517946,-0.06898266299855559,1.4296785871335242,0.004736402752981148,1.0023139108998802
1771970269559790540,0.6817901545775149,-0.06897487139949053,1.4656873977111597,0.002519217597728599,1.0015453343227776
1771970269594138651,0.681795951035795,-0.06890849347555082,1.5016969943550194,0.001629801329519361,1.0008505049578913
1771970269655413079,0.6817963409307071,-0.06890086926923077,1.5377065151159208,0.0012773414600562884,1.0005040410450685
1771970269701821719,0.6817973425438517,-0.06883447525219212,1.5737166377902874,0.0011333783145610844,1.0003566249087286
1771970269779060119,0.6817971871699783,-0.06882705117735181,1.6097266701468667,0.0010746648438722437,1.000298808976276
