x,y,theta,mean_error,initial_x,initial_y,initial_theta,mean_error_initial,odom_x,odom_y,odom_theta
-0.08113338795370861,-4.001388835499675,0.05641335194773323,0.1590166954862806,-0.2591674359516258,-3.9877274693541214,-0.094664887412254,0.32384272226936617,-0.2591674359516258,-3.9877274693541214,-0.094664887412254
-0.08114131571578936,-4.0013930710487715,0.056412659278548605,0.15901331412716888,-0.2591994515668635,-3.9877244294890573,-0.094666408733046,0.3238421073878998,-0.2591994515668635,-3.9877244294890573,-0.094666408733046
-0.08114131571578864,-4.0013930710487715,0.056412659278547404,0.15901331412716985,-0.2591732303359776,-3.987726919211957,-0.094667264334184,0.3238421073879,-0.2591732303359776,-3.987726919211957,-0.094667264334184
-0.08116244449496557,-4.0014046353435795,0.05641091618695708,0.15901016960557576,-0.2592052458398065,-3.987723879280811,-0.0946687779408947,0.3238445780562198,-0.2592052458398065,-3.987723879280811,-0.0946687779408947
-0.08116244449496546,-4.0014046353435795,0.05641091618695759,0.15901016960557507,-0.2591790247279846,-3.987726369054985,-0.09466962570436652,0.3238445780562194,-0.2591790247279846,-3.987726369054985,-0.09466962570436652
-0.08116244449496501,-4.001404635343582,0.056410916186956685,0.15901016960557662,-0.2592110401235037,-3.987723329057963,-0.0946711318223183,0.32384457805621975,-0.2592110401235037,-3.987723329057963,-0.0946711318223183
-0.08116244449496496,-4.00140463534358,0.056410916186957226,0.15901016960557615,-0.2591848191200427,-3.987725818884025,-0.0946719719773441,0.32384457805621963,-0.2591848191200427,-3.987725818884025,-0.0946719719773441
-0.08115829303878858,-4.001402229709341,0.0564111741066314,0.15900614797728138,-0.2592168344082299,-3.987722778821516,-0.0946734708208882,0.3238407147525596,-0.2592168344082299,-3.987722778821516,-0.0946734708208882
-0.08115829303878841,-4.001402229709348,0.05641117410663205,0.15900614797728024,-0.2591906135052741,-3.9877252686998204,-0.0946743035857843,0.3238407147525593,-0.2591906135052741,-3.9877252686998204,-0.0946743035857843
-0.08116608875136683,-4.001406405278528,0.05641049330915057,0.15900290229952982,-0.2592226286880559,-3.9877222285721152,-0.0946757953592485,0.32384011025587633,-0.2592226286880559,-3.9877222285721152,-0.0946757953592485
-0.08116608875136622,-4.001406405278528,0.05641049330915047,0.1590029022995298,-0.2591964078771234,-3.9877247185030873,-0.0946766209420009,0.32384011025587645,-0.2591964078771234,-3.9877247185030873,-0.0946766209420009
-0.08116608875136727,-4.001406405278527,0.056410493309150156,0.15900290229952943,-0.2592284229559319,-3.9877216783105096,-0.09467810584000089,0.32384011025587683,-0.2592284229559319,-3.9877216783105096,-0.09467810584000089
-0.08117445300063153,-4.001410886340131,0.056409763324106715,0.15899944693741483,-0.2592022022295035,-3.9877241682944935,-0.0946789244387396,0.32383945848935136,-0.2592022022295035,-3.9877241682944935,-0.0946789244387396
-0.05736763764013081,-3.9546570233748657,0.05891301002810385,0.15679458520358072,-0.2592342172059511,-3.9877211280373315,-0.0946804026467534,0.3230975697491516,-0.2592342172059511,-3.9877211280373315,-0.0946804026467534
-0.057367637640129976,-3.954657023374868,0.05891301002810398,0.15679458520358192,-0.2592079965566871,-3.9877236180746647,-0.0946812144502666,0.32309756974915127,-0.2592079965566871,-3.9877236180746647,-0.0946812144502666
-0.05738916123013921,-3.954668823611523,0.05891124079772957,0.1567956016437863,-0.2592400114322455,-3.987720577753212,-0.0946826861450046,0.32310442041251475,-0.2592400114322455,-3.987720577753212,-0.0946826861450046
-0.05738916123013682,-3.954668823611523,0.05891124079772882,0.15679560164378809,-0.2592137908533172,-3.9877230678441924,-0.0946834913331856,0.3231044204125151,-0.2592137908533172,-3.9877230678441924,-0.0946834913331856
-0.057389161230137986,-3.9546688236115233,0.05891124079772951,0.156795601643787,-0.2592458056294687,-3.987720027458731,-0.0946849566830904,0.3231044204125152,-0.2592458056294687,-3.987720027458731,-0.0946849566830904
-0.05738916123013954,-3.95466882361152,0.058911240797729865,0.15679560164378653,-0.2592195851143685,-3.987722517603637,-0.094685755427392,0.323104420412515,-0.2592195851143685,-3.987722517603637,-0.094685755427392
-0.07948693176334452,-3.910049339991495,-0.036627650569630084,0.5310422831575056,-0.2501734946150298,-3.9885978090395935,-0.098231857376799,0.5425213619632216,-0.2501734946150298,-3.9885978090395935,-0.098231857376799
-0.07742822766781807,-3.9099658233321635,-0.03666443932379715,0.5309732025121225,-0.2365926637096082,-3.9899574235666933,-0.1013287412898543,0.5434672401335907,-0.2365926637096082,-3.9899574235666933,-0.1013287412898543
-0.13130419907488133,-3.9362559673955357,-0.07635857085210515,0.543678047838191,-0.2216013850475867,-3.9914978446146905,-0.1034614794955362,0.543678047838191,-0.2216013850475867,-3.9914978446146905,-0.1034614794955362
-0.12205542078550985,-3.9359298841620025,-0.07631113481140085,0.543199225578576,-0.2063453733198793,-3.9930950720318727,-0.1051683738417381,0.543199225578576,-0.2063453733198793,-3.9930950720318727,-0.1051683738417381
-0.11270848642684111,-3.9358083251731557,-0.07619619456002595,0.5426999045534936,-0.1904935458667908,-3.994779776967716,-0.1065932831267283,0.5426999045534936,-0.1904935458667908,-3.994779776967716,-0.1065932831267283
0.02123941531255058,-3.95011104079092,0.046437930080805,0.15687855451124652,-0.1713117237276573,-3.996833507128555,-0.1067270387134044,0.30362503909935273,-0.1713117237276573,-3.996833507128555,-0.1067270387134044
0.02123941531254847,-3.95011104079092,0.0464379300808061,0.15687855451124494,-0.1527335353777767,-3.9988198584832677,-0.10630060236877252,0.3027176013248855,-0.1527335353777767,-3.9988198584832677,-0.10630060236877252
0.021239415312550247,-3.9501110407909246,0.04643793008080524,0.156878554511248,-0.134525321595784,-4.000760120129801,-0.106017577931107,0.3014285980352324,-0.134525321595784,-4.000760120129801,-0.106017577931107
0.08412086391663604,-3.9408959376298274,0.045216922313464546,0.15820790074596647,-0.1165479518396996,-4.002671989187987,-0.1058832546283424,0.2840991915108019,-0.1165479518396996,-4.002671989187987,-0.1058832546283424
0.08412086391663576,-3.940895937629829,0.04521692231346496,0.15820790074596666,-0.0985793496328911,-4.00458113608007,-0.1058205952382407,0.2823228936279345,-0.0985793496328911,-4.00458113608007,-0.1058205952382407
0.08412086391663814,-3.9408959376298305,0.0452169223134644,0.1582079007459686,-0.0806962704366571,-4.00648035247197,-0.105789943290716,0.2816521919071887,-0.0806962704366571,-4.00648035247197,-0.105789943290716
0.1298000601282177,-3.93830208538383,0.04561226822418466,0.15931250474473702,-0.0627657314614416,-4.008384159761955,-0.1057710253064315,0.29612651094892556,-0.0627657314614416,-4.008384159761955,-0.1057710253064315
0.191578817060438,-3.9168087744978957,0.04763418505461907,0.14688146809604502,-0.0448976595423783,-4.010281047515598,-0.1057581787838933,0.2776853093984637,-0.0448976595423783,-4.010281047515598,-0.1057581787838933
0.1915788170604386,-3.9168087744978943,0.04763418505461891,0.14688146809604533,-0.0269730758505653,-4.012183711349907,-0.105746392835679,0.2774637887512414,-0.0269730758505653,-4.012183711349907,-0.105746392835679
0.24548152189200562,-3.907406750331896,0.04982250261535743,0.14649969521840567,-0.0091073186389714,-4.014079934790467,-0.10573647475900139,0.2926434009655197,-0.0091073186389714,-4.014079934790467,-0.10573647475900139
0.24548152189200428,-3.9074067503318926,0.04982250261535732,0.14649969521840375,0.0088163165678835,-4.015982115079246,-0.1057258509342944,0.2931281041373365,0.0088163165678835,-4.015982115079246,-0.1057258509342944
